Juegos{game='Project Spark', platform='XONE', developer='Microsoft Game Studios', genre='General', numberPlayers='', rating='E10+', releaseDate='Mar  4, 2014', positiveCritics=17, neutralCritics=9, negativeCritics=0, positiveUsers=15, neutralUsers=9, negativeUsers=6, metascore=73.0, userScore=69.0}
Juegos{game='Strike Vector', platform='PC', developer='Strike Vector Team, Ragequit Corporation', genre='General', numberPlayers='', rating='', releaseDate='Jan 28, 2014', positiveCritics=11, neutralCritics=11, negativeCritics=0, positiveUsers=14, neutralUsers=0, negativeUsers=2, metascore=73.0, userScore=77.0}
Juegos{game='Banished', platform='PC', developer='Shining Rock Software', genre='General', numberPlayers='', rating='', releaseDate='Feb 18, 2014', positiveCritics=17, neutralCritics=14, negativeCritics=1, positiveUsers=106, neutralUsers=47, negativeUsers=13, metascore=73.0, userScore=81.0}
Juegos{game='Always Sometimes Monsters', platform='PC', developer='Vagabond Dog', genre='General', numberPlayers='No Online Multiplayer', rating='', releaseDate='May 21, 2014', positiveCritics=14, neutralCritics=11, negativeCritics=1, positiveUsers=5, neutralUsers=9, negativeUsers=0, metascore=73.0, userScore=72.0}
Juegos{game='Gigantic Army', platform='PC', developer='Astro Port', genre='General', numberPlayers='No Online Multiplayer', rating='', releaseDate='Feb  5, 2014', positiveCritics=3, neutralCritics=4, negativeCritics=0, positiveUsers=2, neutralUsers=3, negativeUsers=0, metascore=73.0, userScore=64.0}
Juegos{game='MouseCraft', platform='PC', developer='Crunching Koalas', genre='General', numberPlayers='No Online Multiplayer', rating='E', releaseDate='Jul  8, 2014', positiveCritics=8, neutralCritics=8, negativeCritics=0, positiveUsers=2, neutralUsers=2, negativeUsers=1, metascore=72.0, userScore=68.0}
Juegos{game='Toukiden: The Age of Demons', platform='VITA', developer='Omega Force', genre='General', numberPlayers='', rating='T', releaseDate='Feb 11, 2014', positiveCritics=17, neutralCritics=27, negativeCritics=0, positiveUsers=32, neutralUsers=5, negativeUsers=2, metascore=71.0, userScore=80.0}
Juegos{game='Dead State', platform='PC', developer='DoubleBear Productions', genre='General', numberPlayers='No Online Multiplayer', rating='', releaseDate='Dec  4, 2014', positiveCritics=2, neutralCritics=14, negativeCritics=0, positiveUsers=12, neutralUsers=8, negativeUsers=10, metascore=70.0, userScore=65.0}
Juegos{game='Demon Gaze', platform='VITA', developer='Experience Inc.', genre='General', numberPlayers='', rating='T', releaseDate='Apr 22, 2014', positiveCritics=14, neutralCritics=24, negativeCritics=0, positiveUsers=10, neutralUsers=2, negativeUsers=0, metascore=70.0, userScore=75.0}
Juegos{game='EA Sports UFC', platform='XONE', developer='EA Sports', genre='General', numberPlayers='2', rating='T', releaseDate='Jun 17, 2014', positiveCritics=8, neutralCritics=15, negativeCritics=0, positiveUsers=16, neutralUsers=24, negativeUsers=13, metascore=70.0, userScore=62.0}
Juegos{game='EA Sports UFC', platform='PS4', developer='EA Sports', genre='General', numberPlayers='2', rating='T', releaseDate='Jun 17, 2014', positiveCritics=22, neutralCritics=34, negativeCritics=1, positiveUsers=24, neutralUsers=33, negativeUsers=24, metascore=70.0, userScore=61.0}
Juegos{game='Metrico', platform='VITA', developer='Digital Dreams', genre='General', numberPlayers='', rating='E', releaseDate='Aug  5, 2014', positiveCritics=20, neutralCritics=20, negativeCritics=1, positiveUsers=3, neutralUsers=3, negativeUsers=1, metascore=68.0, userScore=58.0}
Juegos{game='A Bird Story', platform='PC', developer='Freebird Games', genre='General', numberPlayers='', rating='', releaseDate='Nov  7, 2014', positiveCritics=9, neutralCritics=7, negativeCritics=2, positiveUsers=11, neutralUsers=6, negativeUsers=4, metascore=66.0, userScore=69.0}
Juegos{game='Concursion', platform='PC', developer='Puuba', genre='General', numberPlayers='', rating='', releaseDate='Jun  6, 2014', positiveCritics=2, neutralCritics=5, negativeCritics=0, positiveUsers=2, neutralUsers=0, negativeUsers=0, metascore=66.0, userScore=75.0}
Juegos{game='Elegy for a Dead World', platform='PC', developer='Popcannibal', genre='General', numberPlayers='', rating='', releaseDate='Dec 10, 2014', positiveCritics=3, neutralCritics=10, negativeCritics=1, positiveUsers=0, neutralUsers=2, negativeUsers=1, metascore=65.0, userScore=60.0}
Juegos{game='Unrest', platform='PC', developer='Pyrodactyl Games', genre='General', numberPlayers='', rating='', releaseDate='Jul 23, 2014', positiveCritics=5, neutralCritics=9, negativeCritics=1, positiveUsers=0, neutralUsers=1, negativeUsers=0, metascore=65.0, userScore=58.0}
Juegos{game='Shadowrun Chronicles: Boston Lockdown', platform='PC', developer='Cliffhanger Productions, Cliffhanger Productions', genre='General', numberPlayers='', rating='', releaseDate='Mar 31, 2014', positiveCritics=1, neutralCritics=18, negativeCritics=2, positiveUsers=16, neutralUsers=4, negativeUsers=10, metascore=61.0, userScore=71.0}
Juegos{game='Kinect Sports Rivals', platform='XONE', developer='Microsoft Game Studios', genre='General', numberPlayers='', rating='E10+', releaseDate='Apr  8, 2014', positiveCritics=9, neutralCritics=36, negativeCritics=8, positiveUsers=12, neutralUsers=7, negativeUsers=10, metascore=60.0, userScore=50.0}
