Juegos{game='Deponia', platform='PC', developer='Daedalic Entertainment', genre='Adventure', numberPlayers='No Online Multiplayer', rating='', releaseDate='Aug  6, 2012', positiveCritics=20, neutralCritics=13, negativeCritics=0, positiveUsers=31, neutralUsers=16, negativeUsers=6, metascore=74.0, userScore=82.0}
Juegos{game='The Testament of Sherlock Holmes', platform='PC', developer='Frogwares', genre='Adventure', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Sep 25, 2012', positiveCritics=9, neutralCritics=9, negativeCritics=0, positiveUsers=14, neutralUsers=6, negativeUsers=6, metascore=73.0, userScore=79.0}
Juegos{game='The Book of Unwritten Tales: Critter Chronicles', platform='PC', developer='KING Art', genre='Adventure', numberPlayers='', rating='T', releaseDate='Dec  5, 2012', positiveCritics=7, neutralCritics=7, negativeCritics=0, positiveUsers=1, neutralUsers=4, negativeUsers=0, metascore=73.0, userScore=68.0}
Juegos{game='The Journey Down: Chapter One', platform='PC', developer='SkyGoblin', genre='Adventure', numberPlayers='No Online Multiplayer', rating='', releaseDate='May 18, 2012', positiveCritics=12, neutralCritics=8, negativeCritics=0, positiveUsers=4, neutralUsers=2, negativeUsers=2, metascore=72.0, userScore=75.0}
Juegos{game='Cognition: An Erica Reed Thriller Episode 1 - The Hangman', platform='PC', developer='Phoenix Online Studios', genre='Adventure', numberPlayers='', rating='', releaseDate='Oct 30, 2012', positiveCritics=9, neutralCritics=9, negativeCritics=1, positiveUsers=11, neutralUsers=3, negativeUsers=5, metascore=72.0, userScore=68.0}
Juegos{game='A New Beginning: Final Cut', platform='PC', developer='Daedalic Entertainment', genre='Adventure', numberPlayers='', rating='', releaseDate='Dec 11, 2012', positiveCritics=12, neutralCritics=6, negativeCritics=2, positiveUsers=8, neutralUsers=2, negativeUsers=6, metascore=72.0, userScore=68.0}
Juegos{game='Megabyte Punch', platform='PC', developer='Reptile', genre='Adventure', numberPlayers='No Online Multiplayer', rating='', releaseDate='May 14, 2012', positiveCritics=2, neutralCritics=5, negativeCritics=0, positiveUsers=7, neutralUsers=1, negativeUsers=1, metascore=69.0, userScore=74.0}
Juegos{game='Secret Files 3', platform='PC', developer='Animation Arts', genre='Adventure', numberPlayers='1 Player', rating='', releaseDate='Sep 13, 2012', positiveCritics=5, neutralCritics=8, negativeCritics=1, positiveUsers=0, neutralUsers=0, negativeUsers=2, metascore=67.0, userScore=62.0}
Juegos{game='Yesterday', platform='PC', developer='Pendulo Studios', genre='Adventure', numberPlayers='', rating='', releaseDate='Mar 22, 2012', positiveCritics=13, neutralCritics=17, negativeCritics=3, positiveUsers=3, neutralUsers=4, negativeUsers=4, metascore=65.0, userScore=69.0}
Juegos{game='Carrier Command: Gaea Mission', platform='PC', developer='Bohemia Interactive', genre='Adventure', numberPlayers='', rating='M', releaseDate='Sep 28, 2012', positiveCritics=2, neutralCritics=18, negativeCritics=3, positiveUsers=10, neutralUsers=10, negativeUsers=16, metascore=60.0, userScore=56.0}
