Juegos{game='NBA 2K15', platform='PS4', developer='Visual Concepts', genre='Sports', numberPlayers='Up to 10 ', rating='E', releaseDate='Oct  7, 2014', positiveCritics=45, neutralCritics=5, negativeCritics=0, positiveUsers=43, neutralUsers=19, negativeUsers=21, metascore=83.0, userScore=69.0}
Juegos{game='FIFA 15', platform='XONE', developer='EA Sports', genre='Sports', numberPlayers='', rating='E', releaseDate='Sep 23, 2014', positiveCritics=27, neutralCritics=6, negativeCritics=0, positiveUsers=21, neutralUsers=26, negativeUsers=45, metascore=82.0, userScore=54.0}
Juegos{game='Sportsfriends', platform='PS4', developer='Die Gute Fabrik', genre='Sports', numberPlayers='', rating='E10+', releaseDate='May  6, 2014', positiveCritics=17, neutralCritics=4, negativeCritics=0, positiveUsers=4, neutralUsers=2, negativeUsers=2, metascore=82.0, userScore=63.0}
Juegos{game='NBA 2K15', platform='XONE', developer='Visual Concepts', genre='Sports', numberPlayers='Up to 10 ', rating='E', releaseDate='Oct  7, 2014', positiveCritics=8, neutralCritics=1, negativeCritics=0, positiveUsers=16, neutralUsers=3, negativeUsers=18, metascore=82.0, userScore=62.0}
Juegos{game='FIFA 15', platform='PC', developer='EA Sports', genre='Sports', numberPlayers='', rating='E', releaseDate='Sep 23, 2014', positiveCritics=8, neutralCritics=1, negativeCritics=0, positiveUsers=18, neutralUsers=13, negativeUsers=83, metascore=82.0, userScore=43.0}
Juegos{game='Pro Evolution Soccer 2015', platform='PC', developer='Konami', genre='Sports', numberPlayers='', rating='', releaseDate='Nov 13, 2014', positiveCritics=6, neutralCritics=2, negativeCritics=0, positiveUsers=13, neutralUsers=12, negativeUsers=25, metascore=82.0, userScore=56.0}
Juegos{game='FIFA 15', platform='PS4', developer='EA Sports', genre='Sports', numberPlayers='Up to 22 ', rating='E', releaseDate='Sep 23, 2014', positiveCritics=40, neutralCritics=7, negativeCritics=0, positiveUsers=73, neutralUsers=72, negativeUsers=123, metascore=82.0, userScore=57.0}
Juegos{game='Madden NFL 15', platform='PS4', developer='EA Sports', genre='Sports', numberPlayers='', rating='E', releaseDate='Aug 26, 2014', positiveCritics=34, neutralCritics=3, negativeCritics=0, positiveUsers=32, neutralUsers=23, negativeUsers=19, metascore=81.0, userScore=61.0}
Juegos{game='Madden NFL 15', platform='XONE', developer='EA Sports', genre='Sports', numberPlayers='', rating='E', releaseDate='Aug 26, 2014', positiveCritics=16, neutralCritics=3, negativeCritics=0, positiveUsers=19, neutralUsers=12, negativeUsers=10, metascore=80.0, userScore=62.0}
Juegos{game='Football Manager 2015', platform='PC', developer='Sports Interactive', genre='Sports', numberPlayers='', rating='', releaseDate='Nov  7, 2014', positiveCritics=28, neutralCritics=8, negativeCritics=0, positiveUsers=8, neutralUsers=11, negativeUsers=19, metascore=80.0, userScore=61.0}
Juegos{game='OlliOlli', platform='VITA', developer='Tom Hegarty', genre='Sports', numberPlayers='', rating='E', releaseDate='Jan 21, 2014', positiveCritics=45, neutralCritics=9, negativeCritics=1, positiveUsers=5, neutralUsers=4, negativeUsers=0, metascore=79.0, userScore=78.0}
Juegos{game='OlliOlli', platform='PC', developer='Tom Hegarty', genre='Sports', numberPlayers='', rating='E', releaseDate='Jul 22, 2014', positiveCritics=8, neutralCritics=4, negativeCritics=0, positiveUsers=2, neutralUsers=2, negativeUsers=1, metascore=78.0, userScore=65.0}
Juegos{game='Mario Golf: World Tour', platform='3DS', developer='Camelot Software Planning', genre='Sports', numberPlayers='Up to 4 ', rating='E', releaseDate='May  2, 2014', positiveCritics=56, neutralCritics=17, negativeCritics=0, positiveUsers=17, neutralUsers=4, negativeUsers=0, metascore=78.0, userScore=81.0}
Juegos{game='Inazuma Eleven', platform='3DS', developer='Level 5', genre='Sports', numberPlayers='', rating='E10+', releaseDate='Feb 13, 2014', positiveCritics=8, neutralCritics=7, negativeCritics=0, positiveUsers=3, neutralUsers=0, negativeUsers=0, metascore=78.0, userScore=79.0}
Juegos{game='Inazuma Eleven Go: Shadow', platform='3DS', developer='Level 5', genre='Sports', numberPlayers='', rating='', releaseDate='Jun 13, 2014', positiveCritics=9, neutralCritics=5, negativeCritics=0, positiveUsers=1, neutralUsers=0, negativeUsers=0, metascore=75.0, userScore=71.0}
